product_id,product_name,product_price,price_currency,product_availability,product_url,source_url
103205,"Hwipure, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",2.95,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Hwipure-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/103205,https://au.iherb.com/c/protective-face-masks
101774,"HIGUARD, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",2.95,AUD,http://schema.org/InStock,https://au.iherb.com/pr/HIGUARD-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/101774,https://au.iherb.com/c/protective-face-masks
101955,"SunJoy, KN95, Professional Protective Disposable Face Mask, 10 Pack",8.86,AUD,http://schema.org/InStock,https://au.iherb.com/pr/SunJoy-KN95-Professional-Protective-Disposable-Face-Mask-10-Pack/101955,https://au.iherb.com/c/protective-face-masks
103838,"Lozperi, Copper Mask, Adult, Black, 1 Mask",6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Black-1-Mask/103838,https://au.iherb.com/c/protective-face-masks
102734,"Zidian, Disposable Protective Mask, 50 Pack",15.35,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Zidian-Disposable-Protective-Mask-50-Pack/102734,https://au.iherb.com/c/protective-face-masks
100837,"La Hauteur, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",5.61,AUD,http://schema.org/InStock,https://au.iherb.com/pr/La-Hauteur-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/100837,https://au.iherb.com/c/protective-face-masks
100840,"YJ Corporation, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, for Kids, 1 Mask",3.93,AUD,http://schema.org/InStock,https://au.iherb.com/pr/YJ-Corporation-Disposable-KF94-Mask-for-Kids-1-Mask/100840,https://au.iherb.com/c/protective-face-masks
103204,"Hwipure, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,  25 Masks",50.19,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Hwipure-Disposable-KF94-N95-KN95-FFP2-Mask-25-Masks/103204,https://au.iherb.com/c/protective-face-masks
103840,"Lozperi, Copper Mask, Adult, Gray, 1 Mask",6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Gray-1-Mask/103840,https://au.iherb.com/c/protective-face-masks
103743,"Puritas, 10 Days Mask, Large, 3 Pack",6.61,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Puritas-10-Days-Mask-Large-3-Pack/103743,https://au.iherb.com/c/protective-face-masks
102522,"Dr. Puri, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 20 Masks",47.24,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Dr-Puri-Disposable-KF94-N95-KN95-FFP2-Mask-20-Masks/102522,https://au.iherb.com/c/protective-face-masks
103839,"Lozperi, Copper Mask, Adult, Dot, 1 Count",6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Dot-1-Count/103839,https://au.iherb.com/c/protective-face-masks
104023,"Kosette, PM 2.5 Replaceable Filter, 24 Filters",5.91,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-PM-2-5-Replaceable-Filter-24-Filters/104023,https://au.iherb.com/c/protective-face-masks
101692,"Kitsch, 100% Cotton Reusable Face Masks, Neutral, 3 Pack",17.72,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kitsch-100-Cotton-Reusable-Face-Masks-Neutral-3-Pack/101692,https://au.iherb.com/c/protective-face-masks
100839,"One Fine Day, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",4.49,AUD,http://schema.org/InStock,https://au.iherb.com/pr/One-Fine-Day-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/100839,https://au.iherb.com/c/protective-face-masks
100237,"Kitsch, 100% Cotton Reuseable Face Masks, Leopard, 3 Pack",17.72,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kitsch-100-Cotton-Reuseable-Face-Masks-Leopard-3-Pack/100237,https://au.iherb.com/c/protective-face-masks
103841,"Lozperi, Copper Mask, Kids, Black, 1 Mask",6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Kids-Black-1-Mask/103841,https://au.iherb.com/c/protective-face-masks
99830,"Kosette, Nano Reusable Face Protection Mask, Medium, 1 Mask",22.44,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-Nano-Reusable-Face-Protection-Mask-Medium-1-Mask/99830,https://au.iherb.com/c/protective-face-masks
104022,"Kosette, Fashion Mask with Filter Pocket,  3 Masks",11.81,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-Fashion-Mask-with-Filter-Pocket-3-Masks/104022,https://au.iherb.com/c/protective-face-masks
99829,"Kosette, Nano Reusable Face Protection Mask, Large, 1 Mask",22.44,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-Nano-Reusable-Face-Protection-Mask-Large-1-Mask/99829,https://au.iherb.com/c/protective-face-masks
103842,"Lozperi, Copper Mask, Kids, Gray, 1 Count",6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Kids-Gray-1-Count/103842,https://au.iherb.com/c/protective-face-masks
102455,"Now Foods, Face Mask, Grey, S-M, 1 Mask",2.95,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Now-Foods-Face-Mask-Grey-S-M-1-Mask/102455,https://au.iherb.com/c/protective-face-masks
101691,"Kitsch, 100% Cotton Reuseable Face Masks, Blush, 3 Pack",17.72,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kitsch-100-Cotton-Reuseable-Face-Masks-Blush-3-Pack/101691,https://au.iherb.com/c/protective-face-masks
100541,"Tony Moly, CTT KN95 Respirator Mask, 5 Count",26.57,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Tony-Moly-CTT-KN95-Respirator-Mask-5-Count/100541,https://au.iherb.com/c/protective-face-masks
100099,"Luseta Beauty, Disposable Protection Face Mask, 50 Pack",49.61,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Luseta-Beauty-Disposable-Protection-Face-Mask-50-Pack/100099,https://au.iherb.com/c/protective-face-masks
100234,"Luseta Beauty, Disposable Protection Face Mask (1), 50 Pack",44.31,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Luseta-Beauty-Disposable-Protection-Face-Mask-50-Pack/100234,https://au.iherb.com/c/protective-face-masks
101029,"Landsberg, 3 Ply Disposable Protective Face Mask, 50 Pack",36.54,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Landsberg-3-Ply-Disposable-Protective-Face-Mask-50-Pack/101029,https://au.iherb.com/c/protective-face-masks